Rank,Title,Developer,Version,Price (USD),Rating,Votes,Content Rating,Category,Min Installs,Max Installs,Updated,Rank Change (Day),Rank Change (Week),URL
319,Kingdoms & Lords,Gameloft,1.4.3,$0.00 ,4.45,44472,Everyone,Casual,1000000,5000000,12/27/12,22,-65,https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftDKHM
327,GO Weather EX,GO Launcher EX,3.51,$0.00 ,4.44,118844,Low Maturity,Weather,10000000,50000000,1/30/13,5,-83,https://play.google.com/store/apps/details?id=com.gau.go.launcherex.gowidget.weatherwidget
313,MyCalendar,"K-Factor Media, LLC",2.63,$0.00 ,4.55,490607,Low Maturity,Productivity,10000000,50000000,1/20/13,-8,0,https://play.google.com/store/apps/details?id=com.kfactormedia.mycalendarmobile
317,Lucky Bingo,LuckyLabs,4.8.5,$0.00 ,4.21,74388,Medium Maturity,Cards & Casino,5000000,10000000,1/10/13,18,17,https://play.google.com/store/apps/details?id=com.luckylabs.luckybingo
325,Bingo Madness,Product Madness,1.12,$0.00 ,4.53,3096,Medium Maturity,Cards & Casino,100000,500000,1/18/13,12,43,https://play.google.com/store/apps/details?id=com.productmadness.bingomadness
324,FPse for android,Schtruck & LDchen,0.11.81,$3.63 ,4.32,11041,Everyone,Entertainment,100000,500000,1/24/13,6,-31,https://play.google.com/store/apps/details?id=com.emulator.fpse
312,DINO DOMINION,"COLOPL, Inc.",1.0.5,$0.00 ,4.45,2512,Low Maturity,Arcade & Action,100000,500000,12/27/12,-19,7,https://play.google.com/store/apps/details?id=jp.colopl.dinous
352,LINE: Free Calls & Messages,NAVER,3.5.0,$0.00 ,4.09,481385,Medium Maturity,Communication,10000000,50000000,1/31/13,43,14,https://play.google.com/store/apps/details?id=jp.naver.line.android
329,TSF Shell,TSFUI,1.7.9.4,$16.81 ,4.1,4748,Everyone,Personalization,10000,50000,12/14/12,26,112,https://play.google.com/store/apps/details?id=com.tsf.shell
318,SlingPlayer for Tablets,Sling Media Inc.,3.0.5,$14.99 ,3.79,677,Medium Maturity,Media & Video,10000,50000,10/3/12,3,25,https://play.google.com/store/apps/details?id=com.slingmedia.slingPlayerTablet
309,AirSync by doubleTwist,doubleTwist â„¢,1.8.0,$4.99 ,4.02,7370,Everyone,Music & Audio,100000,500000,8/13/12,-7,-7,https://play.google.com/store/apps/details?id=com.doubleTwist.androidPlayerProKey
139,ìœˆë“œëŸ¬ë„ˆ for Kakao,"WeMade Entertainment CO., LTD",1.3,$0.00 ,4.5,97320,Everyone,Arcade & Action,50000,100000,1/29/13,,,https://play.google.com/store/apps/details?id=com.linktomorrow.windrunner
279,NFL Quarterback 13,Full Fat,1.0.2,$2.24 ,3.63,16,Everyone,Sports Games,1000,5000,1/25/13,-94,,https://play.google.com/store/apps/details?id=com.fullfat.android.quarterback13
336,CHAOS RINGS,"SQUARE ENIX Co.,Ltd.",1.1.1,$8.99 ,4.17,1358,Low Maturity,Arcade & Action,50000,100000,11/2/12,16,103,https://play.google.com/store/apps/details?id=com.square_enix.chaosrings.googleplay
322,Homerun Battle 2,Com2uS,1.1.1.0,$0.00 ,4.81,211891,Everyone,Arcade & Action,1000000,5000000,1/22/13,10,20,https://play.google.com/store/apps/details?id=com.com2us.homerunbattle2.normal.freefull.google.global.android.common
338,Top Eleven Football Manager,Nordeus,2.1.1,$0.00 ,4.44,73106,Everyone,Sports Games,1000000,5000000,1/28/13,30,107,https://play.google.com/store/apps/details?id=eu.nordeus.topeleven.android
307,Dark Galaxy: Space Wars,Uken Games,1.26,$0.00 ,4.5,7244,Medium Maturity,Arcade & Action,500000,1000000,1/15/13,-22,-158,https://play.google.com/store/apps/details?id=com.uken.android.novawars
330,CONTRACT KILLER,Glu Mobile,1.6.0,$0.00 ,4.59,194817,Medium Maturity,Arcade & Action,10000000,50000000,5/25/12,5,62,https://play.google.com/store/apps/details?id=com.glu.android.ck
315,Dark Legends,Spacetime Studios,2.0.0.3,$0.00 ,4.64,32252,High Maturity,Arcade & Action,1000000,5000000,11/26/12,-8,125,https://play.google.com/store/apps/details?id=sts.dl
335,Outlook Web Mobile (OWA EMail),WWO Development,2.59,$4.99 ,3.9,501,Everyone,Business,10000,50000,1/26/13,9,-18,https://play.google.com/store/apps/details?id=com.wwongdev.outlookwebmobile
331,Angry Birds Space,Rovio Mobile Ltd.,1.4.0,$0.00 ,4.58,530352,Low Maturity,Arcade & Action,50000000,100000000,1/10/13,3,40,https://play.google.com/store/apps/details?id=com.rovio.angrybirdsspace.ads
326,Bad Piggies,Rovio Mobile Ltd.,1.1.0,$0.00 ,4.61,124039,Low Maturity,Arcade & Action,10000000,50000000,10/29/12,7,41,https://play.google.com/store/apps/details?id=com.rovio.BadPiggies
358,Pinball Arcade,FarSight Studios,1.10.0,$0.00 ,3.97,9954,Everyone,Arcade & Action,1000000,5000000,1/18/13,41,188,https://play.google.com/store/apps/details?id=com.farsight.AndroidPinball.javaProject
334,câ€¢PRO+ craigslist Client Droid,"Escargot Studios, LLC",1.962,$1.99 ,4.61,5950,Medium Maturity,Finance,10000,50000,1/25/13,-7,-136,https://play.google.com/store/apps/details?id=craigslist.pro.plus
353,World Warâ„¢ - 14 Honor Points,Storm8 Games,1.4.2,$0.00 ,4.53,28124,Everyone,Arcade & Action,1000000,5000000,1/22/13,23,76,https://play.google.com/store/apps/details?id=com.storm8.worldwar14
328,Hello Kitty Cafe,Sanrio Digital,1.1.2,$0.00 ,4.31,25120,Low Maturity,Casual,1000000,5000000,1/20/13,-8,-14,https://play.google.com/store/apps/details?id=com.sd.google.helloKittyCafe
332,Virtual City Playground,G5 Entertainment,1.9,$0.00 ,4.46,94586,Everyone,Arcade & Action,1000000,5000000,12/27/12,-6,-36,https://play.google.com/store/apps/details?id=com.g5e.virtualcitysb
316,Texas HoldEm Poker Deluxe Pro,IGG.COM,1.3.5,$0.00 ,4.62,3261,High Maturity,Cards & Casino,100000,500000,1/31/13,-16,-32,https://play.google.com/store/apps/details?id=com.igg.pokerdeluxepro
351,Badoo - Meet New People,Badoo,Varies with device,$0.00 ,4.48,381636,Medium Maturity,Social,10000000,50000000,1/23/13,11,-3,https://play.google.com/store/apps/details?id=com.badoo.mobile
360,Bingo 90 Live HD,Fungrep Co Ltd,10.01,$0.00 ,3.91,337,Medium Maturity,Brain & Puzzle,50000,100000,1/24/13,12,-102,https://play.google.com/store/apps/details?id=kr.co.tk.game.bingo90.google
